cc_name,url_link
Fit String to Width,https://fellowship.hackbrightacademy.com/materials/challenges/fit-to-width/index.html
Max of Three,https://fellowship.hackbrightacademy.com/materials/challenges/max-of-three/index.html
Calculator,https://fellowship.hackbrightacademy.com/materials/challenges/calculator/index.html
,
Longest Word,https://fellowship.hackbrightacademy.com/materials/challenges/longest-word/index.html
Reverse List in Place,https://fellowship.hackbrightacademy.com/materials/challenges/rev-list-in-place/index.html
Sum List,https://fellowship.hackbrightacademy.com/materials/challenges/sum-list/index.html
,
